experiment_id,Ar,theta,phi
0,-0.64548296,-0.03678424,-1.8016696
1,0.020715274,0.55257475,-1.4634191
2,-0.024062002,0.24441123,-1.43995
3,-0.3857566,0.058162104,-1.466966
4,-0.13411044,-0.36012197,-1.4306141
5,0.0983716,-0.4474188,-1.4322369
6,-0.05252062,0.83202314,-1.5851083
7,-0.5576074,0.508121,-1.592993
8,-0.6237803,0.1927638,-1.5610777
9,-0.7205071,-0.106436476,-1.5873896
10,-0.61600983,-0.204866,-1.5582701
11,-0.19503084,-0.5866643,-1.5710065
12,-0.17045751,-0.76422846,-1.6005862
13,0.11159377,0.8608267,-1.655164
14,-0.24033023,0.674138,-1.6363728
15,-0.60956484,0.32076573,-1.7028261
16,-0.73558235,0.100059524,-1.7390764
17,-0.77541775,-0.39017713,-1.6367962
18,-0.6302111,-0.6196213,-1.7084055
19,-0.14318492,-0.79820216,-1.7409285
20,-0.3365991,0.8610249,1.7923361
21,-0.48013505,0.6790829,1.7283752
22,-0.76386225,0.22356173,-1.7975231
23,-0.74933004,-0.0042173853,-1.7836889
24,-0.823803,-0.38017637,1.7582862
25,-0.71403867,-0.52856934,1.7827753
26,-0.24792399,-0.8375018,-1.7813154
27,-0.0069265007,0.83723587,1.5939435
28,-0.3233912,0.6478473,1.6654229
29,-0.7171611,0.42886332,1.6220831
30,-0.8502888,0.028615208,1.6770618
31,-0.7125174,-0.3901549,1.5730562
32,-0.5970132,-0.6000016,1.6638297
33,-0.12999271,-0.8771744,1.5833939
34,0.22533678,0.83537143,1.4600637
35,-0.18174122,0.61875707,1.5141723
36,-0.64894253,0.21488395,1.5383524
37,-0.67560387,-0.099968046,1.5375712
38,-0.43194,-0.17545041,1.5259652
39,-0.17035294,-0.61465126,1.4480358
40,0.24576645,-0.8372485,1.4788193
41,0.059253134,0.43957675,1.3579124
42,-0.0020803455,0.16169663,1.3904357
43,-0.07917311,-0.06414276,1.3730087
44,-0.31099138,-0.223937,1.417371
45,0.07823881,-0.5661042,1.3783787
46,0.38339826,0.19545792,-1.276409
47,0.45585492,0.05186926,-1.2516229
48,0.684216,-0.2735832,-1.2535983
49,0.3940482,0.6883278,-1.3622957
50,0.2617122,0.44137096,-1.284512
51,0.1455342,0.16299683,-1.2855064
52,-0.0496788,0.09893943,-1.3178734
53,0.3061043,-0.31682563,-1.3134127
54,0.30397668,-0.37960938,-1.3002154
55,0.22375776,-0.6488197,-1.3169955
56,0.27557772,0.9281177,-1.4058859
57,0.053653024,0.8221875,-1.4197376
58,-0.2121344,0.60591316,-1.4187188
59,-0.54467285,0.32125035,-1.4297031
60,-0.64269465,0.11086593,-1.4198439
61,-0.5667977,-0.3640984,-1.4355115
62,-0.2049318,-0.51849586,-1.398662
63,0.0038167378,-0.8344528,-1.4349506
64,0.6247103,-1.0224136,-1.3971347
65,0.45513684,1.0939628,-1.4542816
66,-0.33412182,0.9023454,-1.5530576
67,-0.33743167,0.65432596,-1.5122303
68,-0.73164755,0.37202844,-1.5077416
69,-0.7648405,0.049155124,-1.4741657
70,-0.5499563,-0.4194865,-1.4992932
71,-0.5825707,-0.6146249,-1.5276352
72,-0.3150437,-0.8173044,-1.4619155
73,0.37201762,-1.0606709,-1.5121758
74,0.79033685,1.2574466,-1.6660587
75,0.21835141,1.1279794,-1.6865625
76,-0.319242,1.0266689,-1.684158
77,-0.83134884,0.61379254,-1.6213968
78,-0.98106253,0.22676593,-1.6611018
79,-1.1448419,-0.12254566,-1.6547242
80,-1.0123373,-0.3122037,-1.6912698
81,-0.86343694,-0.75284916,-1.6843914
82,-0.30099323,-0.9760916,-1.6256915
83,-0.19929862,-1.0941029,-1.6302451
84,0.6704684,-1.2651967,-1.6441085
85,0.63822377,1.2997367,1.721878
86,-0.10546255,1.161954,1.7619929
87,-0.5508432,0.97457534,-1.8076711
88,-0.95103586,0.7466682,1.7452601
89,-1.0016025,0.40387458,-1.7886575
90,-1.2537652,-0.07981075,-1.7862211
91,-1.1948485,-0.4891715,1.7734132
92,-0.74197483,-0.7391875,-1.8032466
93,-0.3300325,-0.975532,1.7429372
94,-0.09950405,-1.0738344,1.7619817
95,0.72360927,-1.316272,1.7705216
96,0.4555323,1.2924944,1.6511884
97,-0.06359245,1.0416793,1.6207583
98,-0.42452168,0.87469274,1.6737561
99,-0.7320895,0.68919516,1.6147491
100,-0.8293974,0.41174456,1.5606717
101,-1.0692903,-0.047844183,1.6734036
102,-0.8595344,-0.44297132,1.5853109
103,-0.76559347,-0.6073359,1.6379038
104,-0.30489394,-0.9827131,1.5455325
105,0.12985043,-1.0988886,1.5736371
106,0.5302744,-1.3047544,1.6054556
107,0.24316728,0.9865263,1.4538172
108,-0.20191826,0.75591314,1.4447507
109,-0.47047636,0.6290321,1.4570774
110,-0.63937414,0.44304106,1.4453566
111,-0.84356713,-0.1045757,1.5280426
112,-0.6488166,-0.25602624,1.4468855
113,-0.5007835,-0.6696822,1.5258356
114,-0.02356424,-0.9271279,1.4441928
115,0.051671825,-0.9729925,1.5336343
116,0.60451764,0.94443953,1.3561798
117,0.27885658,0.7631017,1.3311439
118,-0.08077125,0.5109546,1.3721888
119,-0.48067865,0.18887998,1.3476793
120,-0.28232402,-0.093052216,1.3604283
121,-0.30570903,-0.3203613,1.3283199
122,-0.102339186,-0.5716931,1.3839976
123,0.35334662,-0.761452,1.337577
124,0.5226232,-0.9978358,1.3938351
125,0.64492273,0.7244608,1.2937489
126,0.46003,0.41934535,1.2671739
127,0.15503578,0.33005336,1.2553855
128,0.04094709,0.094932094,1.2894852
129,0.11660055,-0.2485864,1.272366
130,0.30508745,-0.55178386,1.2922276
131,0.6072803,-0.67721325,1.2798742
132,0.7095816,0.16255549,1.2004584
133,0.5763214,-0.0332523,1.2035884
134,0.62951237,-0.2954317,1.2065881
135,0.82414824,0.25281543,-1.1623038
136,0.7602591,0.043118134,-1.1545843
137,0.7194205,-0.1965529,-1.1667861
138,0.9294704,0.6919152,-1.2231939
139,0.5947648,0.34838757,-1.2155542
140,0.4493288,0.25278857,-1.1903163
141,0.053867612,0.043357722,-1.2231297
142,0.30556056,-0.3088921,-1.2061161
143,0.66987324,-0.49543232,-1.1978036
144,0.70784837,-0.718292,-1.2313607
145,0.59906495,0.89464825,-1.2985673
146,0.23059458,0.7784234,-1.261415
147,0.18162873,0.5701575,-1.2340049
148,0.056153864,0.30603522,-1.252481
149,-0.13061531,0.103876896,-1.2578886
150,-0.19380601,-0.29916832,-1.2812706
151,0.2116025,-0.47949663,-1.2503219
152,0.031785086,-0.72332525,-1.2748902
153,0.7416476,-0.93013287,-1.2906108
154,0.6738185,1.1913712,-1.3541343
155,0.113473155,1.0103145,-1.357421
156,-0.11146223,0.854711,-1.3956441
157,-0.5987345,0.70055866,-1.3671974
158,-0.74404544,0.21148251,-1.3960696
159,-0.7681424,0.0836161,-1.3460432
160,-0.8250761,-0.29250672,-1.395082
161,-0.47617242,-0.5518154,-1.306016
162,-0.15759423,-0.7513004,-1.3336792
163,0.3059754,-1.0204432,-1.358956
164,0.5453123,-1.1638883,-1.3776653
165,0.62359625,1.334259,-1.5040063
166,0.23783538,1.1216451,-1.4150707
167,-0.46050093,1.0253284,-1.491426
168,-0.8379516,0.68867373,-1.5465466
169,-0.9687823,0.36562636,-1.4653562
170,-1.2493266,0.04377412,-1.4565613
171,-1.1461364,-0.279247,-1.4707718
172,-0.86782587,-0.7149505,-1.483551
173,-0.357982,-0.87044597,-1.4629602
174,0.045406584,-1.1314842,-1.4587929
175,0.40695876,-1.2493519,-1.5433229
176,1.0066538,1.437846,-1.5997877
177,0.4102238,1.4241949,-1.707181
178,0.12637943,1.2419599,-1.5867785
179,-0.5872717,1.0363523,-1.6226072
180,-1.0571696,0.85335743,-1.6584476
181,-1.1911737,0.54642695,-1.5715849
182,-1.4385757,-0.043417707,-1.5731869
183,-1.3374491,-0.40168053,-1.6511348
184,-1.1022288,-0.64079565,-1.5636973
185,-0.7129736,-0.9037572,-1.6000034
186,0.002860654,-1.2106211,-1.6148235
187,0.491714,-1.2990724,-1.5810262
188,0.9100555,-1.4222374,-1.6636479
189,1.1277276,1.4925122,1.743634
190,0.422325,1.4396368,-1.7817699
191,-0.303577,1.1623383,1.7284018
192,-0.6019786,1.1254596,1.7684987
193,-1.3115594,0.7332187,1.7029905
194,-1.3220406,0.38608596,1.7128811
195,-1.4651008,0.019011201,-1.8184716
196,-1.2989603,-0.5765098,-1.7911209
197,-1.2500883,-0.725018,1.700075
198,-0.705075,-1.0998048,1.7476379
199,-0.17188129,-1.2097344,1.7123162
200,0.5198758,-1.3782463,1.7864525
201,0.9242312,-1.4647396,1.7616916
202,1.1820054,1.4451286,1.6314712
203,0.42426613,1.3973451,1.6293265
204,-0.06287484,1.3158486,1.617047
205,-0.75468844,1.0162874,1.6065136
206,-1.1049552,0.7499448,1.5486406
207,-1.2286804,0.5435051,1.523111
208,-1.4358242,-0.08012117,1.6139089
209,-1.4281344,-0.30635,1.5787587
210,-0.9835581,-0.6938208,1.5487481
211,-0.5130785,-1.1264113,1.5724168
212,-0.14184025,-1.1820971,1.634578
213,0.57742214,-1.3859806,1.5967375
214,0.8585655,-1.4577107,1.6116087
215,0.4287425,1.2248349,1.4702415
216,0.07040707,1.138791,1.4898131
217,-0.45187023,0.9073763,1.4411445
218,-0.7821652,0.8165809,1.4678726
219,-1.0026753,0.45912305,1.4325058
220,-0.91565233,-0.06651108,1.3861786
221,-0.8843674,-0.3089038,1.3999606
222,-0.62616503,-0.7251868,1.4161668
223,-0.2844629,-1.0095667,1.446945
224,-0.022892777,-1.1510569,1.4017657
225,0.74964905,-1.2228115,1.402911
226,0.72735786,1.0779301,1.2852395
227,0.22616194,0.9547889,1.3040953
228,0.026949802,0.7280119,1.2961117
229,-0.2882421,0.6717542,1.2817453
