experiment_id,Ax,Ay,Az
0,-0.621789,-0.9267918,-0.39692172
1,-0.6215056,-0.9268917,-0.13098997
2,-0.62157136,-0.9268753,0.13430521
3,-0.6216384,-0.9271422,0.39884883
4,-0.6213879,-0.66194695,-0.6625181
5,-0.6213208,-0.66177994,-0.3967383
6,-0.6211209,-0.6617129,-0.13085717
7,-0.6209539,-0.66176355,0.13448866
8,-0.62093747,-0.66206473,0.39908293
9,-0.6211209,-0.6618306,0.6637443
10,-0.6207034,-0.3966176,-0.92833346
11,-0.6208704,-0.39655188,-0.6626358
12,-0.6207034,-0.39651763,-0.39678755
13,-0.62043506,-0.39646837,-0.13069016
14,-0.6207869,-0.39636704,0.1348227
15,-0.6207869,-0.39651763,0.3992992
16,-0.62063634,-0.39661893,0.6633089
17,-0.62097037,-0.3968024,0.92805374
18,-0.6206199,-0.1315565,-0.92799807
19,-0.62068695,-0.13133882,-0.6624346
20,-0.6203694,-0.13158935,-0.39632073
21,-0.62030226,-0.13092129,-0.13037255
22,-0.62010103,-0.13112253,0.13475561
23,-0.6204857,-0.13127175,0.39948267
24,-0.6203694,-0.13172351,0.663543
25,-0.6204693,-0.13147299,0.92822075
26,-0.62041867,0.13300353,-0.9283663
27,-0.6204857,0.13303639,-0.6624181
28,-0.6205022,0.13342108,-0.3965042
29,-0.6198847,0.13340466,-0.13065593
30,-0.6201517,0.13327049,0.13492262
31,-0.62013525,0.13315412,0.39963326
32,-0.62021875,0.13308704,0.663376
33,-0.62035155,0.13297068,0.92800313
34,-0.6205857,0.39707893,-0.9284827
35,-0.6206199,0.3970625,-0.6626851
36,-0.62085396,0.39734727,-0.39670405
37,-0.62077045,0.39756358,-0.13094068
38,-0.62080336,0.39743078,0.13462146
39,-0.6209539,0.39719668,0.39911577
40,-0.62071985,0.3973801,0.66357726
41,-0.62065274,0.39719668,0.9278525
42,-0.6214221,0.66155684,-0.6629028
43,-0.62097037,0.66180736,-0.39688888
44,-0.62077045,0.6617074,-0.13117477
45,-0.6210374,0.6619908,0.13420391
46,-0.62120444,0.661691,0.39899942
47,-0.6215549,0.6615733,0.6634431
48,-0.6218054,0.92596763,-0.3971216
49,-0.6211538,0.9260334,-0.1313418
50,-0.6211702,0.92588276,0.1341382
51,-0.62167263,0.9259841,0.39888167
52,-0.5389665,-1.1923046,-0.6630698
