experiment_id,Ar,theta,phi
0,-0.39461458,0.4171499,-1.2973003
1,-0.5274208,0.14490792,-1.2971438
2,-0.53026193,-0.14262222,-1.297178
3,-0.40341523,-0.414714,-1.2971268
4,-0.5135696,0.7660644,-1.3965578
5,-0.79922956,0.5035161,-1.3966025
6,-0.95980674,0.17864302,-1.3965378
7,-0.96341616,-0.17406125,-1.3964347
8,-0.8099923,-0.49963692,-1.3962885
9,-0.5310485,-0.76449966,-1.3964837
10,-0.37550628,1.088525,-1.5475851
11,-0.78802437,0.88837874,-1.5477022
12,-1.1175582,0.60295993,-1.5476545
13,-1.310436,0.21970199,-1.5475739
14,-1.3139502,-0.21265642,-1.5477947
15,-1.1298374,-0.59732896,-1.5476902
16,-0.8083311,-0.88577235,-1.5475556
17,-0.4001181,-1.0887902,-1.5475712
18,-0.49796647,1.1705598,-1.7644372
19,-0.93596953,0.9745885,-1.7646501
20,-1.2961812,0.6782276,-1.7643623
21,-1.5132775,0.25280985,-1.7649678
22,-1.5181171,-0.24391842,-1.7647462
23,-1.3091652,-0.672337,-1.7646765
24,-0.9572412,-0.97241706,-1.7642385
25,-0.5236171,-1.1719322,-1.7644876
26,-0.49148312,1.1664561,1.7416674
27,-0.9287741,0.9698888,1.7416517
28,-1.2864729,0.6739212,1.7413055
29,-1.5030136,0.25140008,1.74119
30,-1.5070709,-0.24229354,1.7413684
31,-1.3002688,-0.6684449,1.7414707
32,-0.9502101,-0.96758187,1.7415494
33,-0.51798105,-1.1673678,1.7416831
34,-0.35877877,1.0786246,1.5312551
35,-0.7683949,0.8782736,1.5312811
36,-1.093534,0.59392273,1.5311931
37,-1.2827064,0.21617372,1.5310116
38,-1.2869253,-0.2087864,1.5311149
39,-1.1058714,-0.5883627,1.5313379
40,-0.7875436,-0.87555075,1.5311122
41,-0.38406813,-1.078795,1.5312057
42,-0.48486906,0.7558851,1.3861443
43,-0.7669921,0.49549353,1.3858179
44,-0.9250188,0.17577586,1.3857667
45,-0.92776984,-0.17058945,1.3857687
46,-0.77752984,-0.491464,1.3859811
47,-0.50235975,-0.75355947,1.3862003
48,-0.35765415,0.41093168,1.2904664
49,-0.4889546,0.14286555,1.2901595
50,-0.49217245,-0.14024417,1.290211
51,-0.36696658,-0.40858653,1.290403
52,0.20127149,0.5699388,-1.1964575
53,-0.0125556225,0.35934106,-1.1965529
54,-0.12693255,0.123403795,-1.1967968
55,-0.12942125,-0.12244789,-1.1967288
56,-0.020644886,-0.35807553,-1.1967059
57,0.18709385,-0.5689294,-1.1967726
58,0.10677933,0.86555386,-1.2589808
59,-0.23029447,0.6736227,-1.2588799
60,-0.48230487,0.4332949,-1.2590108
61,-0.6206918,0.1510436,-1.2586973
62,-0.62373525,-0.14837232,-1.2588919
63,-0.49189064,-0.43048495,-1.2588254
64,-0.24646252,-0.67169124,-1.2588123
65,0.08464049,-0.8655571,-1.2588565
66,0.21858597,1.1497303,-1.3546734
67,-0.22042458,1.0031976,-1.3546748
68,-0.6056332,0.8030474,-1.3545456
69,-0.9052117,0.5326786,-1.3544474
70,-1.0748452,0.19048554,-1.3547299
71,-1.0782334,-0.18487851,-1.3546627
72,-0.91600615,-0.52817476,-1.3545847
73,-0.62410975,-0.80044794,-1.3545917
74,-0.2451399,-1.0029961,-1.3546177
75,0.18968047,-1.1516411,-1.354658
76,0.013538777,1.280582,-1.5089189
77,-0.4609278,1.1451875,-1.5087965
