experiment_id,Ax,Ay,Az
0,-2.250632,0.00039891628,0.0021541202
1,-1.9696422,-0.8443925,-0.55812126
2,-1.969218,-0.84391713,-0.2792825
3,-1.9692918,-0.8443433,-0.00094775326
4,-1.9691176,-0.84369177,0.2771391
5,-1.9690665,-0.8441425,0.5557013
6,-1.9693676,-0.56227976,-0.83773243
7,-1.968792,-0.56215477,-0.5585208
8,-1.9686915,-0.5624047,-0.27915755
9,-1.969216,-0.56213015,-0.0002962369
10,-1.968966,-0.56195396,0.2773645
11,-1.9686178,-0.56188023,0.55597585
12,-1.9688677,-0.5619806,0.8341364
13,-1.9689415,-0.2803903,-0.8370318
14,-1.9689927,-0.28001538,-0.5580455
15,-1.9691422,-0.28014034,-0.27873343
16,-1.9688165,-0.2798658,0.00015244892
17,-1.9691914,-0.2798658,0.27781317
18,-1.9690173,-0.28003997,0.5560762
19,-1.9688677,-0.27976543,0.83471215
20,-1.968792,0.002048195,-0.8368576
21,-1.9685174,0.0021240006,-0.557646
22,-1.9687161,0.0018986332,-0.27898338
23,-1.9688923,0.0021240006,2.8869813e-06
24,-1.9686424,0.0023493678,0.27819014
25,-1.968292,0.0023985389,0.5561766
26,-1.9686178,0.0021977571,0.8343618
27,-1.9688411,0.28291118,-0.8369314
28,-1.9686424,0.28261,-0.557396
29,-1.9688411,0.2825854,-0.278883
30,-1.9686915,0.28256083,-0.00034745675
31,-1.9685665,0.28231087,0.27816352
32,-1.9688165,0.28228423,0.5562012
33,-1.9687161,0.28261,0.83463633
34,-1.9689927,0.56239533,-0.83738214
35,-1.9690418,0.5631206,-0.5580209
36,-1.9688923,0.562422,-0.27895677
37,-1.9689415,0.5628706,-0.00014667495
38,-1.9689415,0.56314725,0.27816352
39,-1.9687161,0.56234616,0.5556767
40,-1.9690418,0.56264734,0.8344622
41,-1.9689415,0.8427584,-0.55777097
42,-1.9694414,0.8428096,-0.27903256
43,-1.9691914,0.8426846,-0.00057282404
44,-1.9691669,0.8423589,0.2778398
45,-1.9690418,0.8422339,0.55582625
46,-1.6874782,-1.4072944,-0.27915755
47,-1.6878285,-1.4079705,-0.00034745675
48,-1.6879289,-1.4076447,0.2778398
49,-1.6872529,-1.1258066,-0.83755624
50,-1.6879289,-1.1257062,-0.55824625
51,-1.6873286,-1.1258804,-0.27913296
52,-1.6875786,-1.12553,-0.00024706585
53,-1.6874782,-1.1258311,0.2778398
54,-1.6873778,-1.1255054,0.5560762
