targets,num_mw_configs,final_epoch,duration_sec,Ax_R2,Ax_NMAE,Ay_R2,Ay_NMAE,Az_R2,Az_NMAE
Ax,10,108,209.9,0.9966,4.97,,,,
Ax,5,168,299.0,0.997,4.55,,,,
Ax,3,200,261.2,0.9965,4.69,,,,
Ax,1,200,271.5,0.3515,78.15,,,,
Ay,10,60,81.7,,,0.2796,75.86,,
Ay,5,127,169.0,,,0.4338,61.53,,
Ay,3,88,118.4,,,0.1051,83.19,,
Ay,1,21,31.8,,,-0.0058,99.96,,
Az,10,173,9832.4,,,,,0.7574,45.12
Az,5,120,479.4,,,,,0.5863,57.71
Az,3,93,300.1,,,,,0.4235,70.15
Az,1,95,346.2,,,,,-0.0103,99.57
Ay+Az,10,200,580.7,,,0.6554,50.11,0.6554,50.11
Ay+Az,5,107,253.7,,,0.3464,69.69,0.3464,69.69
Ay+Az,3,116,276.0,,,0.2262,75.93,0.2262,75.93
Ax+Ay+Az,10,105,191.9,0.975,13.75,0.975,13.75,0.975,13.75
Ax+Ay+Az,5,112,203.4,0.8567,30.52,0.8567,30.52,0.8567,30.52
